Interface Hourly 'Power Flow (MW)' Data for Year 2034

(From the first hour of 1/1/2034 to the last hour of 12/31/2034. Column identifier -- InterfaceName)

Date, Hour, TOU,zzz N Path 18 Exp 2,Pth IPC Midpoint West,P03 West Side NW-BC S-N,P84 Harry AllenEldorado 500 kV N-S,P85 Aeolus West Path (Post Gateway) E-W,P86 West of John Day E-W,P87 West of McNary E-W,P88 West of Slatt E-W,P89 Southern Nevada Transmission Interface+ N-S,P41 Sylmar to SCE N-S,P79 TOT 2B2 N-S,TransbayCable Pittsburg - Potrero,Pth 02 Central Ferry - Lower Monumental,AA01_NPC,AA02_ClearwaterGen,AA03_Colstrip,W01_AB_AESO__BC_BCHA_1,W24_BS_IPCO__SW_NVE_1,W26_BS_PACE__CA_LDWP_1,W27_BS_PACE__RM_WACM_1,W28_BS_PACE__SW_AZPS_1,W29_BS_PACE__SW_NVE_1,W30_BS_PACE__SW_WALC_1,Pth 03 Delaney-Palo Verde,W06_NW_BPAT+__BC_BCHA_1,W09_NW_BPAT+__CA_LDWP_1,W13_NW_BPAT+__SW_NVE_1,W18_NW_PACW__CA_CISO_1,W56_CA_CISO__CA_BANC+_1,W31_RM_PSCO__SW_PNM_1,W32_RM_WACM__RM_PSCO_1,W33_RM_WACM__SW_PNM_1,W34_RM_WACM__SW_WALC_1,W35_SW_AZPS__CA_CISO_1,Pth 04 Delaney-Sun Valley,W36_SW_AZPS__CA_IID_1,W37_SW_AZPS__CA_LDWP_1,W38_SW_AZPS__SW_PNM_1,W39_SW_AZPS__SW_SRP_1,W40_SW_AZPS__SW_TEPC_1,W41_SW_AZPS__SW_WALC_1,W42_SW_NVE__CA_CISO_1,W43_SW_NVE__CA_LDWP_1,W44_SW_NVE__SW_WALC_1,W45_SW_PNM__SW_EPE_1,Pth 05 Desert Basin - Pinal Central,W48_SW_SRP__SW_TEPC_1,W49_SW_SRP__SW_WALC_1,W50_SW_TEPC__SW_EPE_1,W51_SW_TEPC__SW_PNM_1,W52_SW_WALC__CA_CISO_1,W53_SW_WALC__CA_IID_1,W54_SW_WALC__CA_LDWP_1,W55_SW_WALC__SW_TEPC_1,Wa1_SW_TH_PV__CA_CISO_1,Wa2_SW_TH_PV__SW_AZPS_1,Pth 14 I-5 Reforce Castle Rock-Troutdale,Wa3_SW_TH_PV__SW_SRP_1,Wb6_SW_TH_Mead__CA_LDWP_1,Wb5_SW_TH_Mead__CA_CISO_1,Wb1_SW_TH_Mead__SW_WALC_1,Wb3_SW_TH_Mead__SW_AZPS_1,W_CA_AB32_NW-CA_1,W_CA_AB32_SW-CA_1,W58_CA_IID__CA_CISO_1,W59_CA_LDWP__CA_CISO_1,W57_CA_CISO__CA_CFE_1,Pth 15 Interior-Lower Mainland,Wc4_NW_TH_Malin__CA_CISO_1,Wc3_NW_TH_Malin__CA_BANC+_1,W02_AB_AESO__NW_NWMT+_1,W14_NW_NWMT+__BS_PACE_1,W17_NW_NWMT+__RM_WACM_1,W06_NW_BPAT+__BC_BCHA_Limit,W_Iface_Idaho-NW_Limit,W_Iface_Montana-NW_Limit,Pth 16 Morgan-Sun Valley,Pth 17 Northwest TL,Pth 19 P8 Upgrade,zzz N Path 18 Imp 2,Pth 20 Pinal Central-Tortolita,Pth 21 PW Pinal Central-Browning,Pth 01 Hemingway-Longhorn,Pth 23 Wallula-McNary,Pth 06 Paloverde - Colorado River,Pth BPA West of John Day,Pth BPA West of McNary,Pth BPA West of Slatt,Pth BPA North of Hanford,Pth BPA Net COB (NW AC Intertie),zzz N Path 22_part1,Pth BPA Raver-Paul,Pth BPA South of Boundary,Pth BPA Paul-Allston,Pth BPA West of Lower Monumental,Pth BPA Columbia Injection,Pth BPA North of Echo Lake,Pth BPA South of Custer,Pth ATC _IPP DC pole balancing,Pth ATC _PDCI DC pole balancing,Pth BPA Northwest AC Intertie (NWACI),zzz N Path 22_part2,Pth 5575 TotBEast wB2H,Pth 14 Idaho to Northwest wB2H,Pth BPA NWACI + PDCI,Pth BPA North of Grizzly,Pth BPA North of Pearl,P27 Intermountain Power Project DC Line NE-SW,P01 Alberta-British Columbia E-W,P02 Alberta-Saskatchewan W-E,P03 Northwest-British Columbia S-N,P04 West of Cascades-North E-W,Pth AZPS xy AZ-CA,P05 West of Cascades-South E-W,P06 West of Hatwai E-W,P08 Montana to Northwest E-W,P14 Idaho to Northwest E-W,P15 Midway-LosBanos S-N,P16 Idaho-Sierra N-S,P17 Borah West E-W,P18 Montana-Idaho N-S,P19 Bridger West E-W,P20 Path C N-S,Pth PAC Aeolus South,P24 PG&E-Sierra W-E,P25 PacifiCorp/PG&E 115 kV Interconnection N-S,P26 Northern-Southern California N-S,P28 Intermountain-Mona 345 kV W-E,P29 Intermountain-Gonder 230 kV E-W,P30 TOT 1A E-W,P31 TOT 2A N-S,P32 Pavant-Gonder InterMtn-Gonder 230 kV E-W,P33 Bonanza West E-W,P35 TOT 2C N-S,Pth SRP Palo Verde East,P36 TOT 3 N-S,P38 TOT 4B SE-NW,P39 TOT 5 W-E,P40 TOT 7 N-S,P42 IID-SCE E-W,P45 SDG&E-CFE N-S,P46 West of Colorado River (WOR) E-W,P47 Southern New Mexico (NM1) N-S,P48 Northern New Mexico (NM2) N-S,P49 East of Colorado River (EOR) E-W,Pth LADWP IPP DC South,P52 Silver Peak-Control 55 kV E-W,P54 Coronado-Silver King 500 kV N-S,P55 Brownlee East W-E,P58 Eldorado-Mead 230 kV Lines W-E,P59 WALC Blythe - SCE Blythe 161 kV Sub E-W,P60 Inyo-Control 115 kV Tie W-E,P61 Lugo-Victorville 500 kV Line N-S,P62 Eldorado-McCullough 500 kV Line S-N,P65 Pacific DC Intertie (PDCI) N-S,P66 COI N-S,Pth LADWP PDCI South,P71 South of Allston N-S,P75 Hemingway-Summer Lake E-W,P76 Alturas Project N-S,P77 Crystal-Allen N-S,P78 TOT 2B1 N-S,P80 Montana Southeast E-W,P82 TotBeast W-E,P83 Montana Alberta Tie Line N-S,P81 Southern Nevada Transmission Interface N-S,P03 East Side  NW-BC S-N
1/1/2034,1,OffPeak,0,31.57129,-1173.498,369.5717,1318.099,2010.242,1518.397,1059.337,966.9997,412.7639,-114.2448,240,420.054,0,783.75,1480,-40.88684,-89.64118,-173.2165,519.9542,5.035668,-292.0694,-59.1608,1324.988,-1503.096,-16.96034,4.344977,65.41038,174.0517,-57.09296,-82.43208,-465.3138,-29.22902,165.9743,528.675,14.91842,-21.25501,-40.69844,5.970538,-4.464028,-449.4456,270.6332,248.0114,-21.09037,9.318644E-04,-22.59857,-59.95613,-231.1813,-286.6011,150.304,51.45556,28.43093,130.0975,151.8427,836.0759,476.8909,0,198.1575,555.1421,-5.568596,-149.1615,177.491,192.1872,8510.489,265.0396,49.23052,-799.9998,1890.254,-336.5136,-133.6362,-138.5278,43.95676,2.731794,-1503.096,6.447478,848.4984,-309.9843,93.15939,0,0,0,0,0,18.00632,0,2010.242,1516.901,1059.337,-224.3842,134.7704,0,306.2704,583.217,-73.13768,1797.042,-246.956,-186.6413,447.262,0,-10,-35.64091,0,-366.6434,659.3996,-52.58232,979.0494,403.2465,791.9996,9.515133,0.1,-1553.498,4953.749,1314.561,3996.368,282.4058,2200.005,730.0457,2485.558,-76.43533,1572.892,69.72832,1897.245,-6.430199,313.3475,-149.1039,74.37685,-1805.391,148.8497,-18.60795,-129.7498,-657.697,-13.11664,58.41085,-253.0733,4344.785,1178.726,-342.8004,-99.30945,280.2968,534.7491,-799.9996,8719.251,-177.7694,-887.9637,5889.521,780.4078,-8.071263,126.399,817.6415,-156.937,38.49101,-56.00011,1060.43,97.73719,-16.94141,134.7704,3.48017,569.7302,295.8609,-170.4112,142.4908,-131.0438,-14.98061,225.9199,188.9299,250.1262,-380.0005
1/1/2034,2,OffPeak,0,20.37908,-1193.462,381.0915,1422.51,1868.084,1497.332,1033.403,1083.56,509.2053,-106.053,0,386.4022,0,783.75,1480,-72.87326,-72.1203,-60.93952,143.221,13.08231,-262.2721,-48.16839,1316.091,-1522.737,-0.001,11.83011,71.7188,49.98957,-20.9859,-552.0656,-369.7869,-19.1353,162.5709,537.2303,13.74706,-21.66432,-114.1681,-69.26162,-29.80707,-442.5052,300.6124,293.3778,-19.09261,9.444066E-04,-25.49397,-174.3732,-284.7066,-303.8802,94.4726,47.937,27.33164,127.4971,147.7266,783.3286,467.7729,0,245.5984,576.4764,-9.636713E-04,-137.9737,214.1794,383.5729,8599.912,277.9856,367.6914,-800.0005,1853.615,-193.9025,-64.96921,-138.78,63.76908,4.052244E-04,-1522.737,-33.2981,837.5648,-316.9714,91.68807,0,0,0,0,0,-20.77207,0,1868.084,1495.856,1033.403,-160.0256,303.8031,0,281.9134,570.9273,-78.45825,1700.909,-255.8335,-198.9337,472.4379,-4.327345,-0.001,137.5364,0,-367.6025,653.2998,137.5354,1081.939,354.9325,868.327,-22.14706,0.1,-1573.463,4765.924,1285.149,3768.892,311.334,2200.003,711.9283,2435.246,-65.18102,1524.648,92.84996,2006.759,-56.00766,335.8063,-147.5172,79.77057,-1833.688,36.16383,-17.34563,23.45458,-501.3789,-7.759351,182.015,-235.9275,4426.005,939.7115,-346.2183,-261.6544,201.3094,539.4162,-800.0004,8666.841,-244.5959,-891.3356,5765.271,854.3915,-8.232055,120.6648,812.7898,-169.0224,36.4179,-56.00003,1205.958,59.73843,-9.98884E-04,303.8031,3.622182E-12,596.4366,300.7218,-166.2667,128.3032,-128.7617,-33.54256,211.3464,189.5063,342.9025,-380.0008
1/1/2034,3,OffPeak,0,29.04939,-1187.922,419.4476,1465.896,1799.66,1536.443,1062.332,1149.007,625.632,-41.75067,0,368.9996,0,783.75,1480,-52.35101,16.55696,4.77328,-71.08387,169.7219,-63.69687,18.67386,1304.912,-1516.972,44.90837,32.64446,78.34354,-1.852723E-03,54.21256,-1285.908,-94.51189,-14.96874,136.2315,551.0895,12.50456,-58.13729,-3.324595E-04,-151.8918,-15.39227,-447.9499,335.4545,316.2324,-18.54064,14.50173,-67.15485,-134.7117,-379.7059,-253.0853,-15.3947,44.51352,20.97275,121.6305,154.4353,570.4916,443.0389,0,483.1694,534.1035,-11.75428,-113.9607,322.4493,643.8085,8348.776,285.7968,598.9682,-799.999,1811.915,-25.71935,21.40205,-132.1408,-7.39616E-05,-13.7944,-1516.972,171.4114,826.2117,-325.7725,90.30759,0,0,0,0,0,-28.82365,0,1799.66,1534.984,1062.332,-118.7319,513.7166,0,281.3411,567.3045,-55.86468,1651.059,-265.1616,-211.319,478.7326,6.999969,-9.999999,363.4417,0,-488.0464,822.7023,408.3501,1137.45,320.4543,918.9995,-1.399682,0.1,-1567.923,4581.199,1185.995,3592.58,339.1021,2200.004,939.1541,1967.696,16.59414,1526.577,49.87603,2042.097,103.5653,382.556,-149.4636,85.18371,-1431.131,-24.89556,24.84479,127.1931,-136.0519,59.47586,293.5367,-72.52473,4800.874,595.7067,-310.5448,-473.0597,69.05184,551.967,-799.9991,8441.955,-199.5744,-538.8394,5321.168,903.3898,-12.37006,76.94784,766.8618,-155.6628,36.57659,-56.00014,1322.197,85.98201,44.90837,513.7166,-27.3982,608.6503,391.7518,-150.2746,96.9299,23.19414,-79.74072,-16.64192,183.092,375.4723,-380.0007
1/1/2034,4,OffPeak,0,36.35426,-1226.851,422.3366,1622.502,1873.757,1573.664,1082.686,1181.757,688.6454,-31.82098,0,369.8562,0,783.75,1408.902,-108.3596,68.93603,18.94807,-168.9995,196.7227,-20.06021,29.56652,1304.262,-1555.203,76.97483,32.99924,80.22559,-2.298156E-03,70.7296,-1475.281,-26.54093,-12.38761,136.3423,550.8782,11.6966,-52.88434,-9.647116E-04,-258.7995,-33.07215,-480.8068,338.1611,315.0876,-17.77582,15.2286,-64.83263,-135.4807,-364.1934,-259.4405,-35.1041,39.9607,24.48166,122.4995,158.2604,614.4007,437.0654,0,445.2338,545.1235,0.4714114,-117.3131,317.4611,701.9715,8444.934,278.7651,772.1855,-799.9995,1783.422,-2.439608E-03,31.50939,-139.9135,-44.34492,-36.93398,-1555.203,307.6232,812.2766,-325.527,88.4455,0,0,0,0,0,-20.7451,0,1873.757,1572.21,1082.686,-94.44816,538.3535,0,314.2761,546.1664,0.7048996,1652.761,-269.7989,-245.0674,515.5207,2.900028,-10,386.3351,0,-559.4016,924.6511,463.31,1083.241,329.5959,885.0995,-56.7107,0.1,-1606.852,4497.549,1210.53,3649.839,339.4132,2200.002,1085.098,2053.364,67.90545,1575.001,37.65588,2193.895,40.91545,419.2316,-147.2305,86.6429,-1417.855,-41.39534,41.34886,205.945,-36.18879,89.87311,339.4287,-43.47041,4751.912,535.5553,-304.3188,-534.537,30.36956,543.3483,-799.9995,8489.975,-204.0738,-468.1956,5400.229,870.621,-11.88423,59.36382,724.8582,-154.9543,33.65666,-55.99998,1382.917,52.77248,76.97483,538.3535,-43.35255,718.0433,439.8616,-152.0185,88.23199,49.16344,-137.9535,-154.8652,191.5625,394.1512,-379.9999
1/1/2034,5,OffPeak,0,39.96703,-1174.323,417.6218,1835.018,1931.09,1597.11,1090.534,1181.034,773.2084,-21.66742,80,373.7716,0,624.96,1480,29.11264,84.31879,24.43812,9.123753,213.5254,8.45126,40.06511,1293.232,-1504.921,181.8737,34.0103,79.861,-7.222703,75.61287,-1439.311,-3.742008,-9.265176,118.3385,551.1802,9.33585,-71.65693,-1.223399E-04,-258.1228,-23.36482,-493.2069,329.848,301.9588,-17.72252,29.36404,-67.01756,-127.88,-403.7276,-271.3674,-75.51164,34.35032,24.26154,118.6766,159.6896,573.7938,415.1099,0,507.7962,485.8843,-9.884709E-04,-108.2839,385.3862,806.6898,8283.313,288.9551,922.031,-799.9999,1735.263,-3.148249E-03,28.5701,-113.1462,-86.9735,-59.31004,-1504.921,352.2215,866.29,-323.3844,87.20324,0,0,0,0,0,-22.41395,0,1931.09,1595.638,1090.534,-97.7701,538.4274,0,312.7659,543.3028,-11.19907,1671.886,-267.6738,-220.9695,473.2352,-4.6,-10,388.0917,0,-576.597,947.9831,569.9654,1055.183,330.3438,868.5995,78.51474,0.1,-1554.323,4583.19,1191.497,3639.445,341.4843,2200.005,1120.204,1940.376,81.54418,1634.588,29.39553,2368.36,108.148,496.5975,-145.9908,86.38831,-1275.247,-46.72066,46.67707,203.9742,-0.309588,95.9921,349.1785,-20.56562,4819.561,683.9285,-292.113,-560.4587,64.92867,549.1981,-799.9999,8455.909,-212.7396,-476.4609,5183.016,854.6553,-12.65384,59.26744,718.0364,-153.5212,32.0895,-56.00007,1485.417,135.7269,181.8737,538.4274,-95.2981,644.3366,451.419,-150.3358,94.72875,65.87724,-200.0015,-184.8018,162.5483,398.3385,-379.9996
1/1/2034,6,OffPeak,0,49.026,-1186.178,403.413,1780.695,2094.452,1606.373,1078.843,1107.58,752.137,-65.56357,0,391.2472,0,535.1219,1480,86.57249,-30.18011,-15.12215,-237.87,77.46681,-140.5764,-4.048869,1327.442,-1517.808,369.9218,-19.4904,73.7666,5.610409E-05,58.10657,-1338.608,-126.9851,-1.015714E-03,153.7481,558.3308,9.63918,-28.22365,-186.0607,-307.4838,-78.67476,-500.0797,310.213,298.8882,-18.00176,58.09824,-29.3942,-261.7693,-340.6711,-360.7599,-51.39948,39.55786,28.0413,124.8414,145.9682,747.0041,495.4626,0,366.5132,529.6556,-9.129781E-04,-132.1646,298.2911,785.7357,8497.501,285.2457,1171.8,-799.9998,1750.548,-133.8157,-38.7608,-108.9089,-81.51862,-54.45747,-1517.808,426.0628,893.9197,-330.1898,87.52725,0,0,0,0,0,-17.28549,0,2094.452,1604.856,1078.843,-111.7083,335.3638,0,316.7227,549.1428,-35.98759,1741.035,-267.3172,-221.2859,471.8566,-9.99999,-10,133.2378,0,-592.1154,984.287,503.1596,885.2083,336.1525,849.9996,134.9431,0.1,-1566.179,4733.885,1258.807,3712.153,346.0612,2200.005,1187.997,2265.987,-33.25532,1618.346,22.46356,2349.144,-17.41019,455.4048,-143.9603,80.44997,-1685.312,-8.224464,8.18187,287.4671,-110.2176,32.61578,401.173,-144.9583,4716.432,540.4997,-239.7071,-536.9589,30.96532,547.1404,-799.9998,8646.988,-321.3224,-778.2834,5533.746,836.6451,-11.33104,86.82215,681.3041,-158.3779,32.44165,-56.00013,1611.704,98.39687,369.9218,335.3638,-187.4564,611.9168,454.7369,-202.1261,106.675,-69.96266,-200.0006,-228.1698,157.2794,321.351,-380.0004
1/1/2034,7,OffPeak,0,54.16545,-1257.794,400.3046,1706.343,2027.305,1507.3,1015.127,1060.745,707.6382,-66.82596,80,386.0311,0,371.07,1480,-21.2778,-66.68713,-2.134635E-03,3.774322,74.63135,-158.1084,-9.416578,1357.173,-1591.172,235.4,-58.22869,70.59759,1.419284E-03,26.95085,-1024.727,-207.0024,-2.956438,162.5705,591.4694,6.61263,-21.27875,-211.9222,-367.2011,-92.54245,-481.6737,317.6177,295.3185,-18.97297,50.102,-14.78749,-152.3888,-325.1926,-357.9146,-45.7704,50.31128,3.216806,127.5712,152.3595,396.0943,641.3621,0,571.5235,552.394,-7.840558,-138.8838,259.8728,541.3199,7989.384,254.3838,987.241,-799.9993,1810.505,-184.792,-66.26947,-115.5293,-108.8589,-68.95734,-1591.172,457.5795,722.5349,-352.6783,89.38126,0,0,0,0,0,-23.75516,0,2027.305,1505.708,1015.127,-129.529,229.3055,0,316.6439,608.2959,-88.29639,1746.022,-281.4286,-299.0307,639.5167,-10.00004,-10,-7.174946,0,-584.46,994.0129,228.2251,847.5085,354.9962,877.4051,25.34393,0.1,-1637.794,4810.597,1041.422,3775.673,335.0478,1975.994,1202.742,2310.621,-69.7037,1644.331,0.2930954,2291.116,-105.1822,427.3502,-143.4889,76.6141,-1713.65,-22.80964,-5.240458,188.4198,-228.9962,14.14002,314.2999,-157.8647,5108.952,665.254,-210.5879,-383.7009,90.67198,590.4047,-799.9992,8154.579,-319.9372,-919.4885,5032.131,863.1757,-12.58984,82.91959,686.6748,-158.4893,38.92631,-56.00004,1518.83,139.7504,235.4,229.3055,-121.6521,606.0244,445.275,-236.4806,112.2442,-66.71751,-200.0026,-203.875,162.1511,289.7924,-380
1/1/2034,8,OffPeak,0,71.58411,-1231.573,307.8225,1632.919,1901.236,1522.059,1012.676,263.4053,639.0865,-77.33246,0,413.6849,0,278.3025,1480,26.48273,-10.39747,4.046105E-04,372.1334,61.13082,21.60314,-5.205318,906.3922,-1564.739,-324.4659,-53.75659,71.21554,214.0764,-5.250497,-912.5971,-387.1275,-14.04924,-94.11141,858.1989,8.163614,63.38906,-319.4095,-488.418,11.88345,-542.3454,128.6208,181.2441,-24.26432,-87.53339,-56.75141,-102.6745,-853.3351,-138.0355,-158.6107,41.53593,-4.000642,42.76459,247.0836,-8.508146E-04,657.638,0,1044.853,333.7763,-162.9217,-87.54147,228.9681,123.8345,6965.301,278.2354,2.785706E-04,-799.9996,1877.767,-126.3662,-51.17522,-107.223,-136.6095,-68.81432,-1564.739,626.0453,691.1218,-592.1015,92.25476,0,0,0,0,0,-17.81786,0,1901.236,1520.385,1012.676,-171.1898,369.3029,0,342.4973,634.873,-112.6324,1858.392,-284.0479,-276.9868,596.6335,7.016182,-9.99999,122.8287,0,-707.6871,1161.403,-197.977,972.0523,399.3112,847.0157,73.174,0.1,-1611.574,5191.732,1161.568,4179.528,349.2422,1942.886,1427.282,3607.479,-20.72325,1941.586,-47.20429,2260.323,-474.5364,368.4257,-144.1009,78.99763,-2535.406,-20.71145,19.14867,83.87177,-395.8737,81.03736,207.2495,-37.33398,6475.784,867.9657,-128.3022,-170.3228,211.4366,618.9363,-799.9996,7782.751,19.75215,-1303.657,4924.484,835.2632,-0.9134359,69.9363,695.4247,-74.47097,34.61371,-56.00001,1137.484,277.4809,-320.8057,369.3029,157.2329,568.856,545.7442,-246.474,102.0699,-98.2085,-199.9972,-396.0638,153.9143,-148.2821,-380.0011
1/1/2034,9,OffPeak,0,83.84703,-1199.113,149.3179,1792.736,1896.467,1525.143,1042.79,41.95112,862.3089,-0.8325126,0,451.0332,0,389.6235,1480,-0.8637367,26.07116,1.241369,313.9228,61.15966,105.5991,67.77037,930.544,-1477.693,-663.4197,-110.4417,77.37923,955.9673,46.15292,-1602.048,-331.7444,30.14181,-335.8799,678.314,-30.7814,50.35867,-808.528,-144.1949,228.5148,-1428.697,-41.64982,345.4558,-20.92059,17.7773,-153.162,-485.0094,-1534.366,-575.6061,-537.5942,25.58097,18.2397,3.742,112.5684,-630.6859,365.1638,0,1241.337,-257.1704,-366.9215,-103.9242,939.0044,1.710539E-04,4480.516,215.9588,-276.4716,-750.894,1910.431,46.76874,36.41232,-125.1406,-198.8812,-81.14845,-1477.693,798.9279,905.6932,-512.9611,94.21699,0,0,0,0,0,-22.81495,0,1896.467,1523.412,1042.79,-214.2707,579.3586,0,384.8397,645.247,-119.4838,1990.949,-284.4302,-257.9159,552.1599,6.193447,10.00001,294.358,0,-759.3629,1204.563,-353.7972,1042.428,455.5789,846.1931,45.32372,0.1,-1523.88,5556.695,691.6295,4475.766,389.8627,2139.878,1518.488,3892.36,16.67563,2037.038,-64.09943,2231.317,-478.3651,429.1694,-145.7905,84.06145,-2461.044,-19.14028,16.90209,207.3045,-173.9811,76.10702,305.4742,47.09273,5458.367,395.6985,-78.14964,-310.017,61.67154,562.9788,-750.894,6578.104,-419.235,-2126.926,2771.992,836.1064,-9.681109,271.9488,577.2128,18.06499,20.742,-56.00007,1151.306,777.3578,-648.1553,579.3586,336.7099,435.5193,584.7697,-285.0008,-124.521,-97.07069,-199.9984,-592.3267,171.3282,-69.09941,-324.7676
1/1/2034,10,OffPeak,0,82.01643,-1182.791,198.6991,1856.625,1799.451,1491.403,918.1805,-532.4935,905.1172,1.114495,0,432.3994,0,540.0045,1480,126.6768,-25.73599,1.274964,22.31886,64.91263,186.1724,73.30841,989.5171,-1515.709,-1010.395,-122.1596,73.61179,1155.073,19.73703,-1350.284,-393.8294,35.76623,-212.8991,632.1005,-10.47237,249.3763,-888.3773,-10.26159,168.097,-1200.181,-40.34474,236.0296,-32.18559,8.253699,-141.2631,-636.7332,-1416.089,-622.8329,-506.8636,86.65755,40.78879,30.98447,166.0177,-177.4954,436.1636,0,784.5269,-80.56863,-290.1701,-150.4112,446.5687,-372.4693,5308.466,262.718,-189.1124,-619.1416,1927.805,-6.431037,21.78552,-111.1657,-247.8935,-93.48009,-1515.709,774.5996,972.6522,-500.9805,95.11265,0,0,0,0,0,-39.4045,0,1799.451,1489.63,918.1805,-467.9193,555.6028,0,311.8887,614.3718,-257.3157,1936.589,-243.333,-188.903,518.4869,-2.418542,-9.99999,270.6018,0,-663.8751,1107.123,-704.3979,897.3843,527.6949,621.5813,172.6069,0.1,-1562.791,5645.108,1209.687,4708.964,389.8217,2200.005,1423.019,3519.038,-39.69912,1852.152,-59.31794,2058.233,-498.5441,428.5226,-147.77,82.32285,-1620.864,-13.45644,2.856418,197.5973,-208.4193,53.69138,259.6584,121.4963,5086.958,705.1707,-198.4818,-344.5898,137.1754,557.593,-619.1416,7309.74,-464.8196,-2141.211,4157.325,620.5262,-13.24196,276.6329,459.6022,67.18911,28.98656,-56.00014,981.4265,407.9903,-974.9997,555.6028,500.1975,250.3857,492.0329,-285.0013,-16.05512,-93.54676,-199.998,-524.4636,157.0959,-465.2064,-380.0005
