Interface Hourly 'Congestion Cost ($)' Data for Year 2034

(From the first hour of 1/1/2034 to the last hour of 12/31/2034. Column identifier -- InterfaceName)

Date, Hour, TOU,zzz N Path 18 Exp 2,Pth IPC Midpoint West,P03 West Side NW-BC S-N,P84 Harry AllenEldorado 500 kV N-S,P85 Aeolus West Path (Post Gateway) E-W,P86 West of John Day E-W,P87 West of McNary E-W,P88 West of Slatt E-W,P89 Southern Nevada Transmission Interface+ N-S,P41 Sylmar to SCE N-S,P79 TOT 2B2 N-S,TransbayCable Pittsburg - Potrero,Pth 02 Central Ferry - Lower Monumental,AA01_NPC,AA02_ClearwaterGen,AA03_Colstrip,W01_AB_AESO__BC_BCHA_1,W24_BS_IPCO__SW_NVE_1,W26_BS_PACE__CA_LDWP_1,W27_BS_PACE__RM_WACM_1,W28_BS_PACE__SW_AZPS_1,W29_BS_PACE__SW_NVE_1,W30_BS_PACE__SW_WALC_1,Pth 03 Delaney-Palo Verde,W06_NW_BPAT+__BC_BCHA_1,W09_NW_BPAT+__CA_LDWP_1,W13_NW_BPAT+__SW_NVE_1,W18_NW_PACW__CA_CISO_1,W56_CA_CISO__CA_BANC+_1,W31_RM_PSCO__SW_PNM_1,W32_RM_WACM__RM_PSCO_1,W33_RM_WACM__SW_PNM_1,W34_RM_WACM__SW_WALC_1,W35_SW_AZPS__CA_CISO_1,Pth 04 Delaney-Sun Valley,W36_SW_AZPS__CA_IID_1,W37_SW_AZPS__CA_LDWP_1,W38_SW_AZPS__SW_PNM_1,W39_SW_AZPS__SW_SRP_1,W40_SW_AZPS__SW_TEPC_1,W41_SW_AZPS__SW_WALC_1,W42_SW_NVE__CA_CISO_1,W43_SW_NVE__CA_LDWP_1,W44_SW_NVE__SW_WALC_1,W45_SW_PNM__SW_EPE_1,Pth 05 Desert Basin - Pinal Central,W48_SW_SRP__SW_TEPC_1,W49_SW_SRP__SW_WALC_1,W50_SW_TEPC__SW_EPE_1,W51_SW_TEPC__SW_PNM_1,W52_SW_WALC__CA_CISO_1,W53_SW_WALC__CA_IID_1,W54_SW_WALC__CA_LDWP_1,W55_SW_WALC__SW_TEPC_1,Wa1_SW_TH_PV__CA_CISO_1,Wa2_SW_TH_PV__SW_AZPS_1,Pth 14 I-5 Reforce Castle Rock-Troutdale,Wa3_SW_TH_PV__SW_SRP_1,Wb6_SW_TH_Mead__CA_LDWP_1,Wb5_SW_TH_Mead__CA_CISO_1,Wb1_SW_TH_Mead__SW_WALC_1,Wb3_SW_TH_Mead__SW_AZPS_1,W_CA_AB32_NW-CA_1,W_CA_AB32_SW-CA_1,W58_CA_IID__CA_CISO_1,W59_CA_LDWP__CA_CISO_1,W57_CA_CISO__CA_CFE_1,Pth 15 Interior-Lower Mainland,Wc4_NW_TH_Malin__CA_CISO_1,Wc3_NW_TH_Malin__CA_BANC+_1,W02_AB_AESO__NW_NWMT+_1,W14_NW_NWMT+__BS_PACE_1,W17_NW_NWMT+__RM_WACM_1,W06_NW_BPAT+__BC_BCHA_Limit,W_Iface_Idaho-NW_Limit,W_Iface_Montana-NW_Limit,Pth 16 Morgan-Sun Valley,Pth 17 Northwest TL,Pth 19 P8 Upgrade,zzz N Path 18 Imp 2,Pth 20 Pinal Central-Tortolita,Pth 21 PW Pinal Central-Browning,Pth 01 Hemingway-Longhorn,Pth 23 Wallula-McNary,Pth 06 Paloverde - Colorado River,Pth BPA West of John Day,Pth BPA West of McNary,Pth BPA West of Slatt,Pth BPA North of Hanford,Pth BPA Net COB (NW AC Intertie),zzz N Path 22_part1,Pth BPA Raver-Paul,Pth BPA South of Boundary,Pth BPA Paul-Allston,Pth BPA West of Lower Monumental,Pth BPA Columbia Injection,Pth BPA North of Echo Lake,Pth BPA South of Custer,Pth ATC _IPP DC pole balancing,Pth ATC _PDCI DC pole balancing,Pth BPA Northwest AC Intertie (NWACI),zzz N Path 22_part2,Pth 5575 TotBEast wB2H,Pth 14 Idaho to Northwest wB2H,Pth BPA NWACI + PDCI,Pth BPA North of Grizzly,Pth BPA North of Pearl,P27 Intermountain Power Project DC Line NE-SW,P01 Alberta-British Columbia E-W,P02 Alberta-Saskatchewan W-E,P03 Northwest-British Columbia S-N,P04 West of Cascades-North E-W,Pth AZPS xy AZ-CA,P05 West of Cascades-South E-W,P06 West of Hatwai E-W,P08 Montana to Northwest E-W,P14 Idaho to Northwest E-W,P15 Midway-LosBanos S-N,P16 Idaho-Sierra N-S,P17 Borah West E-W,P18 Montana-Idaho N-S,P19 Bridger West E-W,P20 Path C N-S,Pth PAC Aeolus South,P24 PG&E-Sierra W-E,P25 PacifiCorp/PG&E 115 kV Interconnection N-S,P26 Northern-Southern California N-S,P28 Intermountain-Mona 345 kV W-E,P29 Intermountain-Gonder 230 kV E-W,P30 TOT 1A E-W,P31 TOT 2A N-S,P32 Pavant-Gonder InterMtn-Gonder 230 kV E-W,P33 Bonanza West E-W,P35 TOT 2C N-S,Pth SRP Palo Verde East,P36 TOT 3 N-S,P38 TOT 4B SE-NW,P39 TOT 5 W-E,P40 TOT 7 N-S,P42 IID-SCE E-W,P45 SDG&E-CFE N-S,P46 West of Colorado River (WOR) E-W,P47 Southern New Mexico (NM1) N-S,P48 Northern New Mexico (NM2) N-S,P49 East of Colorado River (EOR) E-W,Pth LADWP IPP DC South,P52 Silver Peak-Control 55 kV E-W,P54 Coronado-Silver King 500 kV N-S,P55 Brownlee East W-E,P58 Eldorado-Mead 230 kV Lines W-E,P59 WALC Blythe - SCE Blythe 161 kV Sub E-W,P60 Inyo-Control 115 kV Tie W-E,P61 Lugo-Victorville 500 kV Line N-S,P62 Eldorado-McCullough 500 kV Line S-N,P65 Pacific DC Intertie (PDCI) N-S,P66 COI N-S,Pth LADWP PDCI South,P71 South of Allston N-S,P75 Hemingway-Summer Lake E-W,P76 Alturas Project N-S,P77 Crystal-Allen N-S,P78 TOT 2B1 N-S,P80 Montana Southeast E-W,P82 TotBeast W-E,P83 Montana Alberta Tie Line N-S,P81 Southern Nevada Transmission Interface N-S,P03 East Side  NW-BC S-N
1/1/2034,1,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.6168,0,245.8095,2318.549,129.7631,0,193.8645,0,4175.058,779.3862,17.04621,27.64348,3022.125,538.0599,50.11211,4114.85,81.03803,706.9464,0,56.27224,4.497824,435.5343,3.259687E-03,57.86103,1077.417,0,0,51.6923,1.189787E-04,0,97.30167,471.502,891.0038,478.2237,151.6138,29.28305,332.653,369.992,0,0,0,0,0,2.89351E-03,409.9926,0,6.113573,224547.4,946.568,3.935728E-03,3839.999,0,5220.329,684.5993,819.2064,1174.397,675.1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179499.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12526.34,0,0,0,0,0,0,0,0,0,0,34412.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,2,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.232,0,1.861351E-03,991.7636,138.9613,0,89.28873,0,4434.27,1717.793,199.7042,31.60603,556.2781,177.2132,773.622,2960.218,37.30802,647.3922,0,47.58931,26.4799,1215.602,51.64482,54.94593,1003.714,0,0,44.66446,98.60136,0,444.1996,809.3128,751.7521,129.8977,126.7274,29.25268,313.563,363.0225,0,0,0,0,0,0,342.1523,0,103.9493,224420.8,996.9719,7.65829E-03,3839.997,0,1883.584,154.2303,954.3461,1671.155,859.6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275367.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7948.577,0,0,0,0,0,0,0,0,0,0,34249.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,3,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.772,153.7598,17.24684,855.5989,657.6023,0,103.7526,0,3640.136,1374.329,283.1127,33.94658,7.173425E-05,23.5446,1218.135,1802.954,13.62601,676.917,0,48.71234,1.952064E-04,1509.847,486.7078,30.72541,1020.887,0,0,53.14758,330.6235,0,538.8442,953.8384,868.3757,610.1356,141.5896,10.41742,322.0134,369.3301,0,0,0,0,0,739.4647,346.5458,0,419.733,215610.3,1028.236,570.3484,3839.997,0,6.135665E-03,0,1221.797,1626.015,944.5973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8184929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263687.3,0,0,0,0,0,0,0,0,26514.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9131.385,0,0,0,0,0,0,0,0,0,0,34321.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,4,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.09,258.9721,87.98852,427.0401,1091.893,191.4567,301.7673,0,4090.201,2.218944E-03,315.596,35.60228,1.227394E-03,91.85819,1661.918,356.2231,0.4751977,358.0629,0,9.232724,312.9565,920.3904,860.7039,29.36844,1172.151,0,0,44.31075,1043.746,0,485.3559,1207.574,509.2054,1255.935,79.85691,18.28955,278.3452,374.1372,0,0,0,0,0,287.1036,200.6073,0,962.8521,203817.5,948.8511,320.7679,3839.999,0,0,0,1002.582,1496.57,798.9342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255496.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9238.774,0,0,0,0,0,0,0,0,0,0,32356.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,5,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.8994,276.2563,2.853082E-04,775.5321,1103.689,186.2247,300.3955,0,3828.889,19.15228,241.5949,34.16679,2.228496E-04,111.3395,1828.392,3.057656E-03,3.842281,343.6686,0,4.997203,352.6928,678.0313,834.9046,32.95018,1273.604,0,0,44.32342,987.5585,0,294.9038,1120.263,476.4063,1319.235,76.42231,25.26521,278.2872,390.8529,0,0,0,0,0,279.7116,212.7637,0,980.9514,203022.3,1004.042,977.2992,3840.001,0,1.423923E-02,0,959.075,928.6371,491.8389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147504.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9195.143,0,0,0,0,0,0,0,0,0,0,17726.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,6,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.46535,121.7242,209.7494,207.7365,753.709,0,181.7988,0,4440.454,19.05605,174.8414,32.88328,6.834321E-03,102.9118,2103.291,431.7423,13.71173,496.3085,0,21.14169,214.8416,1280.188,631.1257,8.389581,1188.393,0,0,45.46813,350.9184,0,579.3607,1087.507,1073.541,1017.849,88.30235,30.62017,292.1636,378.823,0,0,0,0,0,290.2983,265.2492,0,838.5347,208878.2,1017.406,1578.85,3839.998,0,871.727,0,773.3635,1240.814,644.6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68827.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8308.469,0,0,0,0,0,0,0,0,0,0,14554.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,7,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.43,0,82.30806,98.89482,386.1562,0,0.4057135,0,4963.914,65.99123,0,28.96329,1868.872,52.11335,1816.818,1449.927,3.065711,709.2184,0,28.43387,43.0593,1725.537,1016.553,229.1126,1205.548,0,0,47.7719,274.3385,0,444.3773,767.1642,1057.133,512.5173,128.9346,10.04187,314.9018,375.5801,0,0,0,0,0,226.7672,348.9127,0,811.9693,208824.7,978.5811,2799.364,3839.997,0,3617.822,435.5351,859.9725,418.5654,242.7469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3372205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16361.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10174.09,0,0,0,0,0,0,0,0,0,0,9569.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2034,8,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.39868,0,179.0066,2544.012,1.193422E-03,0,113.3773,0,4996.175,979.676,0,24.05752,5589.025,259.6371,1372.708,3886.929,78.94634,617.8424,0,55.72322,171.8696,1853.799,475.2708,28.92507,1221.398,0,0,55.65524,470.0706,0,43.04944,1739.962,307.9503,601.1428,85.01517,16.90098,44.12192,628.9596,0,0,0,0,0,2217.316,65.13915,0,0,193522.7,1129.822,1513.042,3839.997,0,7127.478,1074.317,605.6976,157.0823,7.010949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622.388,0,0,0,0,0,0,0,0,0,0,30843.26,0,0,0,0,0,0,0,0,0,0,48568.08,0,0,0,0
1/1/2034,9,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.2023,0,1.307312,2048.466,161.6129,0,31.44021,0,5215.417,4061.788,0,31.04197,14718.62,49.40853,2631.452,2721.232,41.1626,9327.504,0,105.5119,32.56824,3212.197,803.371,705.5505,3369.067,1906.246,0,55.65616,379.6143,0,276.9773,3496.21,1427.652,2379.056,39.88531,20.06619,35.58484,342.4327,17225.63,0,0,0,939.4271,5872.443,320.7467,0,0,85725.8,1374.053,14670.34,3615.772,0,485.3647,0,604.2969,480.0459,56.24062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1099696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8870.93,0,0,9261.843,0,0,0,0,0,0,0,52905.62,0,0,0,0
1/1/2034,10,OffPeak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.7084,0,359.8049,351.7175,696.0806,730.7118,392.1018,0,4531.868,4061.788,0,31.09696,14202.4,77.93754,2369.281,1907.596,66.81992,1663.289,0,43.69472,672.0934,4803.621,50.67712,646.0721,3104.844,506.9643,0,76.84164,23.56308,0,1166.396,3441.93,1440.083,3634.083,155.8804,94.06333,36.91185,445.2706,2314.52,0,0,0,0,4890.469,274.3289,0,0,136850.2,1109.511,2244.339,2989.864,0,0,0,609.9681,485.2888,2.476176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1024695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19437.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9177.97,0,0,11908.1,0,0,0,0,0,0,0,20196.29,0,0,0,0
